model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,n_train_rows,well_powered
ridge_loglinear,__pooled__,7,3.682842287694974,5918,0.2816358062005545,0.8837047024969178,0.03743323264080237,True,310,False
random_forest,__pooled__,7,3.682842287694974,5918,1.6831923772509036,-3.1538798260613428,0.15275921737245085,True,310,False
hist_gradient_boosting,__pooled__,7,3.682842287694974,5918,1.4967954447718819,-2.2848180787097383,0.1464805104309091,True,310,False
powerlaw_free,__pooled__,7,3.682842287694974,5918,0.35336459973125195,0.816923544471339,0.047646689057816514,True,310,False
powerlaw_kadomtsev,__pooled__,7,3.682842287694974,5918,0.2803515331348392,0.884762908748409,0.03674067954352292,True,310,False
powerlaw_collisionless,__pooled__,7,3.682842287694974,5918,0.34023125036355883,0.8302792981283642,0.04675429088460641,True,310,False
powerlaw_electrostatic,__pooled__,7,3.682842287694974,5918,0.3830270209200709,0.7848976069498173,0.05306067957917713,True,310,False
hybrid_gbm_s1,__pooled__,7,3.682842287694974,5918,0.290139308801251,0.8765760160067296,0.03910512559372707,True,310,False
ipb98y2_analytic,__pooled__,8,2.5894897182025893,5849,0.19924268224246197,0.9395261018961305,0.028332370398708083,False,379,False
mean_baseline,__pooled__,8,2.5894897182025893,5849,1.6660790501830764,-3.228578637439794,0.15392343026818056,True,379,False
ridge_loglinear,__pooled__,8,2.5894897182025893,5849,0.31044529834480605,0.8531840031258973,0.04303799007594932,True,379,False
random_forest,__pooled__,8,2.5894897182025893,5849,1.6745557211991784,-3.271716391492289,0.1536625702203859,True,379,False
hist_gradient_boosting,__pooled__,8,2.5894897182025893,5849,1.4257105513315251,-2.096463263888347,0.14512750972955699,True,379,False
powerlaw_free,__pooled__,8,2.5894897182025893,5849,0.3101694824546566,0.8534447653052742,0.04228870046300158,True,379,False
powerlaw_kadomtsev,__pooled__,8,2.5894897182025893,5849,0.2900434843987709,0.8718468067507069,0.03869214459262287,True,379,False
