degree,alpha,tokamak,n_held_out_rows,rmsle,feature_mahalanobis
4,0.01,AUGW,767,0.1849754652894173,1.6457652294950753
4,0.01,ASDEX,431,1.3758829395626218,5.187342932450245
4,0.01,D3D,388,0.3763847910525303,1.1410663145491857
4,0.01,NSTX,185,3.8777942139899055,7.8308993076380045
4,0.01,JT60U,100,0.8386945529380803,2.483394451114324
4,0.01,PDX,97,0.4633862062046759,4.045943810544166
4,0.01,JFT2M,69,2.1593644278023083,5.434784443628557
4,0.01,PBXM,59,4.936908326955918,10.18020691511417
4,0.01,CMOD,45,3.544524675658128,6.937744525296737
4,0.01,MAST,39,0.5162158632365575,5.375921749336576
4,0.1,JET,1762,0.5230777016421554,2.189768389167002
4,0.1,AUG,1377,0.2442017512968014,1.2399939601552896
4,0.1,JETILW,866,0.20454700858159908,1.7024302608804454
4,0.1,AUGW,767,0.1775976114478984,1.6457652294950753
4,0.1,ASDEX,431,0.7392831372292056,5.187342932450245
4,0.1,D3D,388,0.32423139060823175,1.1410663145491857
4,0.1,NSTX,185,3.7919385566874815,7.8308993076380045
4,0.1,JT60U,100,0.7471363637649185,2.483394451114324
4,0.1,PDX,97,0.33262727971493894,4.045943810544166
4,0.1,JFT2M,69,0.3004331883860513,5.434784443628557
4,0.1,PBXM,59,2.6635594593993526,10.18020691511417
4,0.1,CMOD,45,1.3951184011342421,6.937744525296737
4,0.1,MAST,39,0.3399066060215701,5.375921749336576
4,1.0,JET,1762,0.3610207932553833,2.189768389167002
4,1.0,AUG,1377,0.23043440570802942,1.2399939601552896
4,1.0,JETILW,866,0.21342470705970232,1.7024302608804454
4,1.0,AUGW,767,0.1760998027803936,1.6457652294950753
4,1.0,ASDEX,431,0.40527236545229084,5.187342932450245
4,1.0,D3D,388,0.2759985121650628,1.1410663145491857
4,1.0,NSTX,185,2.5164319713246623,7.8308993076380045
4,1.0,JT60U,100,0.6747197417446336,2.483394451114324
4,1.0,PDX,97,0.30962708523914345,4.045943810544166
4,1.0,JFT2M,69,0.9177637924765604,5.434784443628557
4,1.0,PBXM,59,2.5119437413950334,10.18020691511417
4,1.0,CMOD,45,3.5355565971481844,6.937744525296737
4,1.0,MAST,39,0.2125393926730449,5.375921749336576
4,10.0,JET,1762,0.3349246190755747,2.189768389167002
4,10.0,AUG,1377,0.2163877734295337,1.2399939601552896
4,10.0,JETILW,866,0.2102052793921987,1.7024302608804454
4,10.0,AUGW,767,0.17741982821887678,1.6457652294950753
4,10.0,ASDEX,431,0.5663792851318985,5.187342932450245
4,10.0,D3D,388,0.23743364005615866,1.1410663145491857
4,10.0,NSTX,185,1.4353779485723184,7.8308993076380045
4,10.0,JT60U,100,0.5269756259429809,2.483394451114324
4,10.0,PDX,97,0.2868708780679711,4.045943810544166
4,10.0,JFT2M,69,0.36677902984293326,5.434784443628557
4,10.0,PBXM,59,1.2578025516802729,10.18020691511417
4,10.0,CMOD,45,5.0637093059900105,6.937744525296737
4,10.0,MAST,39,0.1538070931794875,5.375921749336576
4,100.0,JET,1762,0.3451537374440642,2.189768389167002
4,100.0,AUG,1377,0.20737185064905986,1.2399939601552896
4,100.0,JETILW,866,0.20344259461124597,1.7024302608804454
4,100.0,AUGW,767,0.18116843839191424,1.6457652294950753
4,100.0,ASDEX,431,0.6727214669179098,5.187342932450245
4,100.0,D3D,388,0.20892719272700108,1.1410663145491857
4,100.0,NSTX,185,0.8798765645456259,7.8308993076380045
4,100.0,JT60U,100,0.38469643562038425,2.483394451114324
4,100.0,PDX,97,0.37258808797985477,4.045943810544166
4,100.0,JFT2M,69,0.18638332101021546,5.434784443628557
4,100.0,PBXM,59,0.6210318697051879,10.18020691511417
4,100.0,CMOD,45,3.7179921697800613,6.937744525296737
4,100.0,MAST,39,0.1778880907184002,5.375921749336576
4,1000.0,JET,1762,0.34090559523324343,2.189768389167002
4,1000.0,AUG,1377,0.202557013311081,1.2399939601552896
4,1000.0,JETILW,866,0.17886982148633476,1.7024302608804454
4,1000.0,AUGW,767,0.1886079984185545,1.6457652294950753
4,1000.0,ASDEX,431,0.53048484270108,5.187342932450245
4,1000.0,D3D,388,0.20770790355799545,1.1410663145491857
4,1000.0,NSTX,185,0.4019233979285187,7.8308993076380045
4,1000.0,JT60U,100,0.3760993725749472,2.483394451114324
4,1000.0,PDX,97,0.49189096602321536,4.045943810544166
4,1000.0,JFT2M,69,0.39631020679214535,5.434784443628557
4,1000.0,PBXM,59,0.6448792197243955,10.18020691511417
4,1000.0,CMOD,45,1.5071730383952984,6.937744525296737
4,1000.0,MAST,39,0.32016649414862697,5.375921749336576
4,10000.0,JET,1762,0.4235420628499961,2.189768389167002
4,10000.0,AUG,1377,0.213408890646694,1.2399939601552896
4,10000.0,JETILW,866,0.18681499500854912,1.7024302608804454
4,10000.0,AUGW,767,0.20632907404441161,1.6457652294950753
4,10000.0,ASDEX,431,0.298962600789519,5.187342932450245
4,10000.0,D3D,388,0.2356759377734651,1.1410663145491857
4,10000.0,NSTX,185,0.33871887446520726,7.8308993076380045
4,10000.0,JT60U,100,0.3432521970662562,2.483394451114324
4,10000.0,PDX,97,0.53667178865388,4.045943810544166
4,10000.0,JFT2M,69,0.454798489008827,5.434784443628557
4,10000.0,PBXM,59,1.0026289442093237,10.18020691511417
