model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,feature_mahalanobis
hist_gradient_boosting,leave_one_tokamak_out,PDX,97,0.9,0.38144329896907214,0.20188749592032396,1.2237103279624766,0.34921867962621606,True,4.045943810544166
hist_gradient_boosting,leave_one_tokamak_out,JFT2M,69,0.9,0.8115942028985508,0.19660978618328673,1.2172689528549547,0.28575139787967674,True,5.434784443628557
hist_gradient_boosting,leave_one_tokamak_out,PBXM,59,0.9,0.05084745762711865,0.21444127128576684,1.2391693440151699,0.5323249531239362,True,10.18020691511417
hist_gradient_boosting,leave_one_tokamak_out,CMOD,45,0.9,0.06666666666666667,0.21100221211105086,1.2349150868276833,0.4596097566217606,True,6.937744525296737
hist_gradient_boosting,leave_one_tokamak_out,MAST,39,0.9,0.1794871794871795,0.20840803079665782,1.231715644945041,0.41516120489074304,True,5.375921749336576
hybrid_gbm_s1,leave_one_tokamak_out,JET,1762,0.9,0.5993189557321226,0.23036225574463653,1.259056027605799,0.23485446536416746,True,2.189768389167002
hybrid_gbm_s1,leave_one_tokamak_out,AUG,1377,0.9,0.6942628903413217,0.22503732480588967,1.2523694597664994,0.21493691567616022,True,1.2399939601552896
hybrid_gbm_s1,leave_one_tokamak_out,JETILW,866,0.9,0.6362586605080831,0.23938090484620922,1.2704623697043433,0.2200110514129748,True,1.7024302608804454
hybrid_gbm_s1,leave_one_tokamak_out,AUGW,767,0.9,0.7196870925684485,0.2419285443844994,1.2737031763199846,0.21935827193572907,True,1.6457652294950753
hybrid_gbm_s1,leave_one_tokamak_out,ASDEX,431,0.9,0.5754060324825986,0.2496920662070521,1.2836300827424039,0.2557240608794553,True,5.187342932450245
hybrid_gbm_s1,leave_one_tokamak_out,D3D,388,0.9,0.6469072164948454,0.24126626073969937,1.2728599028119274,0.23439589950221176,True,1.1410663145491857
hybrid_gbm_s1,leave_one_tokamak_out,NSTX,185,0.9,0.7081081081081081,0.23862105916580978,1.2694973810282812,0.275697743070084,True,7.8308993076380045
hybrid_gbm_s1,leave_one_tokamak_out,JT60U,100,0.9,0.52,0.24048462156127837,1.2718653743750783,0.27239687189640627,True,2.483394451114324
hybrid_gbm_s1,leave_one_tokamak_out,PDX,97,0.9,0.7422680412371134,0.2431549836984912,1.275266254283987,0.22872678794847448,True,4.045943810544166
hybrid_gbm_s1,leave_one_tokamak_out,JFT2M,69,0.9,0.37681159420289856,0.24094000365807708,1.2724446909913034,0.2579168446957917,True,5.434784443628557
hybrid_gbm_s1,leave_one_tokamak_out,PBXM,59,0.9,0.7796610169491526,0.24597877562854942,1.2788724299901948,0.23134412511105165,True,10.18020691511417
hybrid_gbm_s1,leave_one_tokamak_out,CMOD,45,0.9,0.022222222222222223,0.2393451368664714,1.2704169286447184,0.43699032159476403,True,6.937744525296737
hybrid_gbm_s1,leave_one_tokamak_out,MAST,39,0.9,0.8717948717948718,0.2580451543615765,1.2943972649868005,0.18423310285313696,True,5.375921749336576
ipb98y2_analytic,size_cut,JET,1762,0.9,0.9625425652667423,0.31970574590790957,1.3767225984697504,0.14786640407873294,False,2.189768389167002
ipb98y2_analytic,size_cut,JETILW,866,0.9,0.74364896073903,0.31970574590790957,1.3767225984697504,0.256629652478898,False,1.7024302608804454
ipb98y2_analytic,size_cut,JT60U,100,0.9,0.69,0.31970574590790957,1.3767225984697504,0.2748479842757165,False,2.483394451114324
