model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,method,arm
powerlaw_collisionless,leave_one_tokamak_out,CMOD,45,0.9,1.0,0.326841435750592,1.3865815974779858,0.11550573689861406,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,MAST,39,0.9,0.9487179487179487,0.3279074536470956,1.3880605064075011,0.15683394009653784,True,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,JET,1762,0.9,0.9761634506242906,0.3604441353213347,1.4339661481679304,0.14786640407873294,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,AUG,1377,0.9,0.9208424110384895,0.3512141782384592,1.4207915959682618,0.1973676563878414,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,JETILW,866,0.9,0.7401847575057737,0.32490018987978336,1.3838925126092614,0.256629652478898,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,AUGW,767,0.9,0.9139504563233377,0.34339853410723603,1.409730475664537,0.21832511500257962,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,ASDEX,431,0.9,0.9675174013921114,0.31364905132523124,1.3684094107982023,0.13144904229087115,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,D3D,388,0.9,0.7680412371134021,0.33238601040077353,1.3942909554589076,0.25193607071646484,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,NSTX,185,0.9,0.7783783783783784,0.23531968610122714,1.2653132071287985,0.22222938608255652,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,JT60U,100,0.9,0.7,0.32680858383378486,1.386536046362924,0.2748479842757165,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,PDX,97,0.9,0.8247422680412371,0.3076563500469815,1.360233464443216,0.2270798419649088,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.2931592639257564,1.3406562916138045,0.0945692941473851,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,PBXM,59,0.9,0.6440677966101694,0.20325763544851677,1.2253881310035335,0.17167843282810225,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,CMOD,45,0.9,0.9777777777777777,0.2702447342315556,1.3102850831097215,0.1193554844659295,False,machine_cv_distance,lomo
ipb98y2_analytic,leave_one_tokamak_out,MAST,39,0.9,0.9487179487179487,0.30179976448612056,1.3522904230303605,0.1364310264879828,False,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,JET,1762,0.9,0.9574347332576617,0.37054636389553897,1.4485258207106255,0.1979097980970751,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,AUG,1377,0.9,0.9179375453885258,0.36798568950221683,1.4448213627130275,0.21552600328195384,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,JETILW,866,0.9,0.9122401847575058,0.34084841309748126,1.4061400722877297,0.21586955727909324,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,AUGW,767,0.9,0.9256844850065189,0.3520813400636863,1.4220241865524001,0.2074398929329735,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,ASDEX,431,0.9,0.9535962877030162,0.35148722047936415,1.4211795850557785,0.1935999461699966,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,D3D,388,0.9,0.8041237113402062,0.35759412671997826,1.4298851505131487,0.2512433460586729,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,NSTX,185,0.9,0.8162162162162162,0.348889403159996,1.4174924114910827,0.28907712742060465,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,JT60U,100,0.9,0.74,0.3334276681443009,1.3957440861304062,0.2853670935561867,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,PDX,97,0.9,0.845360824742268,0.31818872700703693,1.3746356676236118,0.23277730351044704,True,machine_cv_distance,lomo
ridge_loglinear,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.32613730863799384,1.3856056114308146,0.09362793859749098,True,machine_cv_distance,lomo
